xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Begriff	Top_1	Top_3	Top_5
LS01115	Schorbacher	Schorbacher	Substantiv		gewöhnlicher Kartoffelschnaps, der in Schorbach (n. w. Bitsch) vorzugsweise getrunken wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein; Branntewein	Branntwein; Feuerwasser; Branntewein; Schnaps	Branntwein; Feuerwasser; Branntewein; Schnaps; Kurzer; Anisschnaps
LS01563	Sirop	Sirop	Substantiv		Sirup	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	Sirup	Sirup	Sirup; Absinth; Met	Sirup; Absinth; Met; Glühmost; Spirituose
LS01713	Spenn	Spenn	Substantiv	1.	Muttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Frischmilch; Magermilch	Milch; Frischmilch; Magermilch; H-Milch; Vollmilch
LS01837	Spret	Spret	Substantiv	1.	Sprit, Spiritus, schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel; Branntewein	Fusel; Kurzer; Branntewein; Schnaps; Branntwein; Feuerwasser	Fusel; Kurzer; Branntewein; Branntwein; Schnaps; Feuerwasser; Brandy
LS01858	Spruddel	Spruddel	Substantiv		Sprudel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Arbeitersekt; Brause; Kribbelwasser; Mineralwasser; Proletariersekt; Sauerbrunnen; Selters; Selterswasser; Soda; Sodawasser; Spritzwasser; Sprudel; Sprudelwasser; Wasser mit Zisch; sauerer Sprudel	Sprudel	Sprudel; Sprudelwasser; Spritzwasser; Arbeitersekt; Selterswasser; Sodawasser; Brause	Sprudel; Sprudelwasser; Spritzwasser; WassermitZisch; Arbeitersekt; saurerSprudel; Mineralwasser; Selterswasser; Selters; Brause; Sodawasser; Soda; Sauerbrunnen
LS02218	Strach	Strach	Substantiv	3.	soviel auf einmal an Milch gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Schickermilch; Trinkmilch	Milch; Schickermilch; Trinkmilch; Eselsmilch; Dosenmilch
LS02255	Strechersch	Strechersch	Substantiv		die Menge Milch, die beim einmaligen Melken erzeugt wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Dosenmilch; haltbare Milch	Milch; Dosenmilch; haltbare Milch; Eselsmilch; Büchsenmilch
LS02444	Suff	Suff	Substantiv		steifer Trank für Rindvieh u. Schweine; Küchenwasser zum Tränken des Viehs	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	das Trinken	das Trinken; billiger Alkohol; Getränk; Trank; Trunk	das Trinken; billiger Alkohol; Getränk; Drink; Trank; Trunk; Trinkware
LS02490 	Surmilich 	Surmilich	Substantiv		Sauermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Dickmilch; Sauermilch; gestandene Milch; saure Milch	Sauermilch	Sauermilch; gestandene Milch; Dickmilch; saure Milch	Sauermilch; gestandene Milch; Dickmilch; saure Milch; haltbare Milch
LW00150	Wasser	Wasser	Substantiv	2.	wässeriger Kaffee, dünne Suppe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Branntewein; Branntwein; Schnaps	Geplämpe; Plämpe	Geplämpe; Plampel; Plörre; Plempe; Lurke; Plämpe; Geschlapp	Geplämpe; Plampel; Plörre; Lurke; Plempe; Plämpe; Geschlapp
LW00150	Wasser	Wasser	Substantiv	2.	in aller Frühe getrunkener Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Branntwein; Branntewein	Branntwein; Branntewein; Anisschnaps; Kurzer	Branntwein; Branntewein; Anisschnaps; Schnaps; Feuerwasser; Kurzer
LW00353 	Widderdaifer 	Widderdaifer	Substantiv		Name für Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Gänsewein; Tafelwein
LW00386	Wih-wasser	Wihwasser	Substantiv	2.	Schnaps, der in der Frühe getrunken wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntewein; Kurzer	Branntewein; Branntwein; Feuerwasser; Kurzer; Schnaps	Branntewein; Branntwein; Feuerwasser; Schnaps; Kurzer
LW00407	Win	Win	Substantiv		Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Most; Tafelwein
LW00439	Winkof	Winkof	Substantiv	1.	Trunk zur Bestätigung eines geschlossenen Kaufes od. Vertrags	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Gesöff; Trunk; das Trinken	Gesöff; Trunk; Trank; Getränk; das Trinken	Gesöff; Trunk; Trank; das Trinken; Drink; Getränk
LW00444	Winscho	Winscho	Substantiv		Glühwein	Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk	Glühwein	Glühwein	Glühwein; Whiskey; Honigwein	Glühwein; Whiskey; Honigwein; Feuerzangenbowle; Whisky
LZ00261	Zwelfer	Zwelfer	Substantiv		ein Schnaps zu 12	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntewein; Branntwein	Branntewein; Branntwein; Schnaps	Branntewein; Branntwein; Schnaps; Kurzer; Feuerwasser; Anisschnaps
PA00150	Abend-milch	Abendmilch	Substantiv	-	Milch, die am Abend gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Trinkmilch	Trinkmilch; Milch; Trinkbares	Trinkmilch; Milch; Trinkbares; Eselsmilch; Dosenmilch
PA01307	Alkohol	Alkohol	Substantiv	-	Alkohol	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Drink	Drink; Getränk; Trunk; Tropfen; Trank; das Trinken	Drink; Getränk; Trunk; Trank; das Trinken; Tropfen; billiger Alkohol
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk	Trunk; Gesöff; Trank; das Trinken	Trunk; Gesöff; Trank; Getränk; Drink; das Trinken
PA02488	Apfel-, Äpfel-bumpes	Apfelbumpes, Äpfelbumpes	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Obstwein
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Palmwein; Obstwein; Apfelschorle
PA02502	Apfel-gückes	Apfelgückes	Substantiv	-	Apfelwein minderer Sorte	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelperlwein; Apfelwein	Apfelperlwein; Apfelwein; Apfelschaumwein	Apfelperlwein; Apfelwein; Apfelschaumwein; Apfelschorle; Apfelsaftschorle; Apfelsaft
PA02521	Apfel-mops	Apfelmops	Substantiv	-	nachgemachter Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein; Apfelperlwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Perlwein; Apfelsaftschorle
PA02522	Apfel-most	Apfelmost	Substantiv	-	Apfelmost	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Apfelsaft; Most	Apfelsaftschorle; Apfelschorle	Apfelsaftschorle; Apfelschorle; Apfelsaft	Apfelsaftschorle; Apfelschorle; Apfelsaft; Apfelschaumwein; Apfelperlwein; Süßmost; Aprikosenbrand
PA02536	Apfel-, Äpfel-saft	Apfelsaft, Äpfelsaft	Substantiv	1	Apfelsaft, Äpfelsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Apfelsaft	Apfelsaft	Apfelsaft; Apfelsaftschorle; Obstsaft	Apfelsaft; Apfelsaftschorle; Obstsaft; Fruchtsaft; Karottensaft
PA02561	Apfel-, Äpfel-wein	Apfelwein, Äpfelwein	Substantiv	-	Apfelwein, Äpfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelperlwein	Apfelperlwein; Apfelschaumwein; Apfelwein	Apfelperlwein; Apfelschaumwein; Apfelwein; Apfelschorle; Apfelsaftschorle
PA02579	Apparaten-milch	Apparatenmilch	Substantiv	-	Milch, die durch die Zentrifuge entrahmt ist	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Milchmischgetränk; Trinkmilch	Milch; Milchmischgetränk; Trinkmilch; Milchmixgetränk; Eselsmilch
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Arbeitersekt; Brause; Kribbelwasser; Mineralwasser; Proletariersekt; Sauerbrunnen; Selters; Selterswasser; Soda; Sodawasser; Spritzwasser; Sprudel; Sprudelwasser; Wasser mit Zisch; sauerer Sprudel	Mineralwasser	Mineralwasser; Brunnenwasser; Sprudel; Selters; Selterswasser; Brause; Sodawasser; Spritzwasser	Mineralwasser; Brunnenwasser; Sprudel; Quellwasser; Spritzwasser; Selters; Selterswasser; Brause; Soda; Sodawasser; Arbeitersekt; Sauerbrunnen
PA02886	Ast-heimer	Astheimer	Substantiv	-	Birnwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Fruchtwein	Fruchtwein; Obstwein; Apfelperlwein; Orangensaft	Fruchtwein; Obstwein; Apfelperlwein; Likörwein; Burgunder; Orangensaft; Tafelwein
PA03037	Auf-enthalt	Aufenthalt	Substantiv	3	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Feuerwasser; Kurzer
PA03060	Auffüll-wein	Auffüllwein	Substantiv	-	Wein zum Auffüllen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Tafelwein; Weinbrand
PA04088	Aus-stich	Ausstich	Substantiv	2	Beerenauslese, edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Prädikatswein; Qualitätswein	Prädikatswein	Prädikatswein; Qualitätswein; Süßwein	Prädikatswein; Qualitätswein; Süßwein; Tafelwein; Eiswein; Sauser; Federweißer
PA04089	Ausstich-wein	Ausstichwein	Substantiv	-	edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Prädikatswein; Qualitätswein	Qualitätswein; Prädikatswein	Qualitätswein; Prädikatswein; Perlwein; Süßwein	Qualitätswein; Prädikatswein; Perlwein; Tafelwein; Bordeaux; Süßwein; Sauser; Federweißer
PB00145	Päckel-brühe	Päckelbrühe	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Lorke; Plämpe	Brühe; Lorke; Plämpe; Lurke; Plörre; Gesöff	Brühe; Lorke; Plämpe; Plörre; Plempe; Lurke; Geschlapp; Plampel; Gesöff
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Gesöff; Lorke; Geschlapp; Plämpe	Brühe; Lorke; Plämpe; Gesöff; Plörre; Geschlapp	Brühe; Lorke; Plämpe; Plörre; Plempe; Gesöff; Lurke; Plampel; Geschlapp
PB00523	Bampel-brühe	Bampelbrühe	Substantiv	-	minderwertiger Wein, dünner Kaffee	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein;Getränk.Heißgetränk.Alkoholfreies_Heißgetränk	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre; Wein	Geplämpe; Geschlapp; Plörre; Pumpenheimer; Lurke	Geplämpe; Ballerbrühe; Geschlapp; Plampel; Lurke; Plörre; Gesöff; Pumpenheimer; Plämpe; Plempe	Geplämpe; Ballerbrühe; Geschlapp; Plörre; Lurke; Plampel; Brühe; Gesöff; Plämpe; Lorke; Pumpenheimer; Plempe
PB00617	Bankerotts-brühe, Bankerott-brühe	Bankerottsbrühe, Bankerottbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Geplämpe; Geschlapp; Plämpe	Geplämpe; Plämpe; Plampel; Plempe; Geschlapp; Lurke; Plörre	Geplämpe; Plämpe; Plampel; Plörre; Plempe; Geschlapp; Lurke; Brühe
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Geplämpe; Geschlapp; Plörre	Geplämpe; Plämpe; Plampel; Plempe; Geschlapp; Plörre; Lurke	Geplämpe; Plämpe; Plampel; Plörre; Plempe; Geschlapp; Lurke; Brühe
PB00757	Pappel-wasser	Pappelwasser	Substantiv	2	geringwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Weinbrand; Tafelwein
PB01168	Batzen-wein	Batzenwein	Substantiv	-	minderwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Gesöff; Plörre
PB01184	Bauch-bläser	Bauchbläser	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Weinwarm	Wein; Rebensaft; Weinwarm; Tafelwein; Weinbrand
PB01216	Bauchweh-wasser	Bauchwehwasser	Substantiv	-	Zwetschgenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Pflaumenbranntwein; Zwetschgenbrand; Zwetschgenschnaps; Zwetschgenwasser	Zwetschgenschnaps	Zwetschgenschnaps; Zwetschgenbrand; Zwetschgenwasser	Zwetschgenschnaps; Zwetschgenbrand; Zwetschgenwasser; Pflaumenbranntwein; Aprikosenschnaps; Aprikosenbrand
PB01220	Baudel-brühe	Baudelbrühe	Substantiv	-	Malzkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	Gerstenkaffee; Getreidekaffee; Kornkaffee; Malzkaffee	Malzkaffee	Malzkaffee; Kornkaffee; Gerstenkaffee; Getreidekaffee; Muckefuck	Malzkaffee; Kornkaffee; Gerstenkaffee; Getreidekaffee; Muckefuck; Eichelkaffee
PB01317	Bauern-wein	Bauernwein	Substantiv	-	Wein, den die Bauern für den eigenen Gebrauch herstellen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Weinwarm	Rebensaft; Wein; Weinwarm; Weinbrand; Tafelwein
PB01499	Pech-milch	Pechmilch	Substantiv	-	die erste gelbe Milch der Kuh nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	Kuhmilch	Kuhmilch; Eselsmilch; Ziegenmilch	Kuhmilch; Eselsmilch; Ziegenmilch; Kuhsaft; Milch
PB02066	Perl-kaffee	Perlkaffee	Substantiv	-	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntewein; Branntwein	Schnaps; Branntewein; Branntwein; Reisschnaps; Zuckerrohrschnaps; Feuerwasser; Kurzer
PB02644	Pfand-wein	Pfandwein	Substantiv		verpfändeter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Fruchtwein; Obstwein	Fruchtwein; Obstwein; Palmwein	Fruchtwein; Obstwein; Palmwein; Tafelwein; Likörwein; Apfelperlwein; Apfelschaumwein
PB02736	Pfeffer-minze, -minz	Pfefferminze, Pfefferminz	Substantiv	2	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Pfefferminztee	Pfefferminztee	Pfefferminztee; Pfefferminzlikör; Ostfriesentee	Pfefferminztee; Pfefferminzlikör; Ostfriesentee; Hopfenblütentee; Espresso
PB02740	Pfefferminz-tee	Pfefferminztee	Substantiv	-	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Pfefferminztee	Pfefferminztee	Pfefferminztee; Pfefferminzlikör; Jagertee	Pfefferminztee; Pfefferminzlikör; Jagertee; Teepunsch; Ostfriesentee
PB02869	Pferds-milch	Pferdsmilch	Substantiv	-	Stutenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Kuhmilch	Kuhmilch; Milch; Trinkmilch	Kuhmilch; Milch; Trinkmilch; Pflanzenmilch; Milchmischgetränk
PB03008	Pflaster	Pflaster	Substantiv	4b	Erdbeerwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Fruchtwein; Obstwein	Fruchtwein; Obstwein; Wein; Likörwein	Fruchtwein; Obstwein; Wein; Likörwein; Fencheltee; Palmwein; Roséwein
PB03368	Bier	Bier	Substantiv	-	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Starkbier; Kellerbier	Bier; Starkbier; Kellerbier; Radler; Leichtbier
PB03415	Bier-schlorum	Bierschlorum	Substantiv	-	schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Kellerbier; Leichtbier	Bier; Kellerbier; Leichtbier; Bockbier; Lorke
PB03442	Biest-milch	Biestmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	Kuhmilch	Kuhmilch; Bock; Dünnbier	Kuhmilch; Bock; Dünnbier; Ziegenmilch; Hafermilch
PB03609	Pink-pille	Pinkpille	Substantiv	1	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Lorke; Gesöff; Plämpe	Brühe; Lorke; Plämpe; Lurke; Gesöff	Brühe; Lorke; Plämpe; Plörre; Plempe; Lurke; Geschlapp; Gesöff; Plampel
PB03661	Bippel-henker	Bippelhenker	Substantiv	-	derbe Bez. für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Plempe; Geplämpe	Plempe; Geschlapp; Plörre; Geplämpe; Plämpe; Plampel	Plempe; Geschlapp; Plörre; Lurke; Plämpe; Geplämpe; Plampel
PB03661	Bippel-henker	Bippelhenker	Substantiv	E2	Tresterwein, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Rebensaft; Tafelwein	Rebensaft; Wein; Weinwarm; Tafelwein; Fruchtwein	Rebensaft; Wein; Weinwarm; Tafelwein; Roséwein; Fruchtwein; Gänsewein
PB03715	Birnen-bumpes	Birnenbumpes	Substantiv	-	Wein, den man aus Birnenselbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Obstwein	Obstwein; Fruchtwein; Obstbrand; Rebensaft	Obstwein; Fruchtwein; Obstbrand; Obstwasser; Obstler; Rebensaft; Palmwein; Wein
PB03729	Birnen-most	Birnenmost	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Fruchtsaft; Obstsaft; Saft	Fruchtsaft; Obstsaft	Fruchtsaft; Obstsaft; Saft; Gemüsesaft	Fruchtsaft; Obstsaft; Saft; Gemüsesaft; O-Saft; Karottensaft; Ananassaft
PB03731	Birnen-puff	Birnenpuff	Substantiv	-	Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Obstwein	Obstwein; Fruchtwein; Apfelschaumwein; Apfelperlwein	Obstwein; Fruchtwein; Apfelschaumwein; Apfelperlwein; Apfelschorle; Palmwein
PB03733	Birnen-saft	Birnensaft	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Fruchtsaft; Obstsaft; Saft	Obstsaft; Fruchtsaft	Obstsaft; Fruchtsaft; Karottensaft; Saft; Ananassaft	Obstsaft; Fruchtsaft; Karottensaft; Gemüsesaft; Saft; O-Saft; Ananassaft
PB03735	Birnen-schnackel	Birnenschnackel	Substantiv	-	verächtlich für schlechten Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Fruchtwein	Fruchtwein; Obstwein; Rebensaft; Tafelwein	Fruchtwein; Obstwein; Rebensaft; Burgunder; Wein; Tafelwein
PB03741	Birnen-wein	Birnenwein	Substantiv	-	Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Obstwein	Obstwein; Fruchtwein; Palmwein	Obstwein; Fruchtwein; Palmwein; Früchtetee; Obstwasser
PB03844	Bitter-wasser	Bitterwasser	Substantiv	-	ein sehr bitter schmeckendes Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Arbeitersekt; Brause; Kribbelwasser; Mineralwasser; Proletariersekt; Sauerbrunnen; Selters; Selterswasser; Soda; Sodawasser; Spritzwasser; Sprudel; Sprudelwasser; Wasser mit Zisch; sauerer Sprudel	saurerSprudel; Proletariersekt; Krawallbrause; WassermitZisch	saurerSprudel; Sprudelwasser; Sodawasser; Proletariersekt; Kribbelwasser; Krawallbrause; WassermitZisch	saurerSprudel; Sprudelwasser; Sodawasser; Kribbelwasser; Selterswasser; Proletariersekt; Arbeitersekt; Krawallbrause; Maurerbrause; WassermitZisch; Krimsekt
PB03868	Bitzler	Bitzler	Substantiv	1	junger, noch gärender Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Federweißer; Sauser	Sauser; Federweißer	Sauser; Federweißer; Qualitätswein; Prädikatswein	Sauser; Federweißer; Qualitätswein; Prädikatswein; Weißer; Süßwein; Weinwarm
PB03946	Plämpel	Plämpel	Substantiv	2	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Weinwarm	Rebensaft; Wein; Weinwarm; Gesöff; Plörre
PB03947	Plämpel-brühe	Plämpelbrühe	Substantiv	-	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Gänsewein	Rebensaft; Wein; Gänsewein; Tafelwein; Fruchtwein
PB04154	blau	blau	Substantiv	4a'b	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Kurzer; Anisschnaps; Feuerwasser
PB04279	Bleff	Bleff	Substantiv	-	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Weinwarm	Rebensaft; Wein; Weinwarm; Gänsewein; Tafelwein
PB04481	Blume	Blume	Substantiv	2g	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Weinwarm	Rebensaft; Wein; Weinwarm; Gänsewein; Tafelwein
PB04647	Blut-wein	Blutwein	Substantiv	-	Rotwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Roter; Rotwein	Rotwein	Rotwein; Roter; Weißwein; Roséwein	Rotwein; Roter; Weißwein; Weißer; Federweißer; Roséwein; Reiswein; Wein
PB04693	Bock-bier	Bockbier	Substantiv	-	Starkbier mit hohem Stammwürzegehalt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bockbier; Starkbier	Starkbier	Starkbier; Prädikatswein; Hochprozentiges; Bockbier; Leichtbier	Starkbier; Prädikatswein; Hochprozentiges; Schwarzbier; Dunkelbier; Bockbier; Leichtbier
PB04748	Böckser	Böckser	Substantiv	1c	Wein mit Bodengeschmack	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Kaffee	Rebensaft	Rebensaft; Wein; Gänsewein	Rebensaft; Wein; Gänsewein; Weinwarm; Kranenberger
PB04748	Böckser	Böckser	Substantiv	1a	von verdorbenem Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Wein	Geplämpe	Geplämpe; Plämpe; Geschlapp	Geplämpe; Plämpe; Geschlapp; Plempe; Lurke
PB04748	Böckser	Böckser	Substantiv	1b	Most, der in der Gärung das Süße verloren hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Most	Most; Traubenmost; Traubensaft	Most; Traubenmost; Traubensaft; Apfelsaftschorle; Süßmost
PB04755	Böcksler	Böcksler	Substantiv	2	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Lorke; Brühe; Geschlapp; Gesöff; Plämpe	Lorke; Brühe; Plämpe; Gesöff; Geschlapp	Lorke; Brühe; Plämpe; Plörre; Lurke; Gesöff; Geschlapp; Plampel; Plempe
