xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Konzept_gemappt
PK00839	Kaschmir	Kaschmir	Substantiv	-	feiner Wollstoff (früherer Zeit)	['feiner Wollstoff (früherer Zeit)']	kein_Trinken					
PD03115	Dorn, Dornen	Dorn, Dornen	Substantiv	'1.2a	Stahlbolzen zum Durchlöchern von Eisenblech, auch zum Erweitern von Löchern	['Stahlbolzen zum Durchlöchern von Eisenblech', 'auch zum Erweitern von Löchern']	kein_Trinken					
PL01883	liederig, liedrig	liederig, liedrig	Adjektiv	2	kränklich, gesundheitlich hinfällig	['kränklich', 'gesundheitlich hinfällig']	kein_Trinken					
PM02794	Mords-kaffer	Mordskaffer	Substantiv	-	dummer Kerl	['dummer Kerl']	kein_Trinken					
PS04972	Schöffe	Schöffe	Substantiv	-	ehrenamtlicher Laienrichter	['ehrenamtlicher Laienrichter']	kein_Trinken					
PH02443	Heirats-jahre	Heiratsjahre	Substantiv	-	Heiratsalter	['Heiratsalter']	kein_Trinken			Heiratsalter	kein_Trinken	kein_Trinken
PA02713	Armen-recht	Armenrecht	Substantiv	-	Armenrecht	['Armenrecht']	kein_Trinken			Armenrecht	kein_Trinken	kein_Trinken
PB05606	Brand-platscher	Brandplatscher	Substantiv	-	Huflattich (Tussilago farfara)	['Huflattich (Tussilago farfara)']	kein_Trinken					
PA00327	ab-jagen	abjagen	Verb	1	durch Jagen ermüden, abhetzen	['durch Jagen ermüden', 'abhetzen']	kein_Trinken					
PK01739	Kienholz-fackel	Kienholzfackel	Substantiv	-	Leuchte aus Kiefernholz	['Leuchte aus Kiefernholz']	kein_Trinken					
PL01189	Lehnung	Lehnung	Substantiv	1	Verpachtung, insbes. öffentliche Pachtvergabe	['Verpachtung', 'insbes. öffentliche Pachtvergabe']	kein_Trinken					
PR01836	Ring-wurst	Ringwurst	Substantiv	-	große Wurst	['große Wurst']	kein_Trinken					
PD04933	Tuch-rock	Tuchrock	Substantiv	-	Tuchrock	['Tuchrock']	kein_Trinken			Tuchrock	kein_Trinken	kein_Trinken
PD03149	dornig	dornig	Adjektiv	-	dornig	['dornig']	kein_Trinken			dornig	kein_Trinken	kein_Trinken
PL00794	Lauf-pfeiler	Laufpfeiler	Substantiv	-	Armbrust der Knaben	['Armbrust der Knaben']	kein_Trinken					
PS05905	Schutt-halde	Schutthalde	Substantiv	-	Abraumhalde des Steinbruchs	['Abraumhalde des Steinbruchs']	kein_Trinken					
PN00078	Nach-geschwistergockel	Nachgeschwistergockel	Substantiv	-	weitläufiger Verwandter	['weitläufiger Verwandter']	kein_Trinken					
PA02148	an-reiben	anreiben	Verb	-	entzünden, auflösen	['entzünden', 'auflösen']	kein_Trinken					
PF03015	Vieh-natur	Viehnatur	Substantiv	-	kerngesunde, widerstandsfähige Körperbeschaffenheit	['kerngesunde', 'widerstandsfähige Körperbeschaffenheit']	kein_Trinken					
PS11397	Stotterin	Stotterin	Substantiv	-	eine stotternde Frau	['eine stotternde Frau']	kein_Trinken					
PS03267	Schleuder	Schleuder	Substantiv	1a	Steinschleuder, bes. Gummischleuder der Knaben	['Steinschleuder', 'bes. Gummischleuder der Knaben']	kein_Trinken					
PS10879	stiel-faul	stielfaul	Adjektiv	-	mit Fäulnisstellen am Stiel	['mit Fäulnisstellen am Stiel']	kein_Trinken					
PN00363	Nack-arsch	Nackarsch	Substantiv	3a	Herbstzeitlose (Colchicum autumnale)	['Herbstzeitlose (Colchicum autumnale)']	kein_Trinken					
PN00363	Nack-arsch	Nackarsch	Substantiv	2b	wirtschaftlich ruinierter Mensch	['wirtschaftlich ruinierter Mensch']	kein_Trinken					
PF02985	Vieh-hafen	Viehhafen	Substantiv	1	eiserner, großer Topf zum Kochen des Viehfutters	['eiserner', 'großer Topf zum Kochen des Viehfutters']	kein_Trinken					
PF05611	führen	führen	Verb	I2a'b	befördern, transportieren	['befördern', 'transportieren']	kein_Trinken					
PK02053	Kirbe-kranz	Kirbekranz	Substantiv	x2	Kranz (Kränze) am Kirbebaum	['Kranz (Kränze) am Kirbebaum']	kein_Trinken					
PH03807	herum-stiefeln	herumstiefeln	Verb	-	viel unterwegs sein	['viel unterwegs sein']	kein_Trinken					
PJ00164	japsen	japsen	Verb	-	nach Luft schnappen	['nach Luft schnappen']	kein_Trinken					
PM01143	Maul-löcher	Maullöcher	Substantiv	-	Nüstern	['Nüstern']	kein_Trinken			Nüstern	kein_Trinken	kein_Trinken
PK04609	Krätscher	Krätscher	Substantiv	-	Eichelhäher	['Eichelhäher']	kein_Trinken			Eichelhäher	kein_Trinken	kein_Trinken
PW03861	Würz-stüpfe	Würzstüpfe	Substantiv	+f	womit oder in was Gewürze zerstoßen werden	['womit oder in was Gewürze zerstoßen werden']	kein_Trinken					
PW03409	Wolfs-kreiser	Wolfskreiser	Substantiv	+	zum Wolfsfang angestellte Person	['zum Wolfsfang angestellte Person']	kein_Trinken					
PH02939	heraus-witschen	herauswitschen	Verb	1	entkommen	['entkommen']	kein_Trinken			entkommen	kein_Trinken	kein_Trinken
PD05366	durch-hacken	durchhacken	Verb	1a	entzweihacken (ein Stück Holz, ein Stück Fleisch)	['entzweihacken (ein Stück Holz', 'ein Stück Fleisch)']	kein_Trinken					
PM00059	Madamen-schenkel	Madamenschenkel	Substantiv	-	Flaschenbirne	['Flaschenbirne']	kein_Trinken			Flaschenbirne	kein_Trinken	kein_Trinken
PQ00092	Qualm	Qualm	Substantiv	-	Qualm	['Qualm']	kein_Trinken			Qualm	kein_Trinken	kein_Trinken
PG04813	Gummi-zug	Gummizug	Substantiv	-	elastischer Ziehgriff am Schuh	['elastischer Ziehgriff am Schuh']	kein_Trinken					
PB00355	Bahn-schlitten	Bahnschlitten	Substantiv	-	Schneepflug	['Schneepflug']	kein_Trinken			Schneepflug	kein_Trinken	kein_Trinken
PS11351	Stoßer, Stößer	Stoßer, Stößer	Substantiv	6	ein Ferkelhändler	['ein Ferkelhändler']	kein_Trinken					
PG01410	Geißler	Geißler	Substantiv	-	Metzger, der hauptsächlich Ziegen schlachtet	['Metzger, der hauptsächlich Ziegen schlachtet']	kein_Trinken					
PS00952	Sau-gast	Saugast	Substantiv	-	unverschämter, grober Mensch	['unverschämter', 'grober Mensch']	kein_Trinken					
PD01150	Tasche, Täsche	Tasche, Täsche	Substantiv	2b'a	Einbuchtung im Mauerwerk	['Einbuchtung im Mauerwerk']	kein_Trinken					
PD01049	Darm-verschlingung	Darmverschlingung	Substantiv	-	Darmverschlingung	['Darmverschlingung']	kein_Trinken			Darmverschlingung	kein_Trinken	kein_Trinken
PH06651	Hosen-knopf	Hosenknopf	Substantiv	2a'b	Blütenknöpfe der Klette	['Blütenknöpfe der Klette']	kein_Trinken					
PD04509	Trittling	Trittling	Substantiv	2	Stiefel	['Stiefel']	kein_Trinken			Stiefel	kein_Trinken	kein_Trinken
PA03256	auf-reißen	aufreißen	Verb	I1c	mit dem Grubber bearbeiten	['mit dem Grubber bearbeiten']	kein_Trinken					
PE00904	ein-setzen	einsetzen	Verb	I1a'a	in etwas hineinsetzen	['in etwas hineinsetzen']	kein_Trinken					
PR01347	reitern	reitern	Verb	-	im Galoppschritt huckepack tragen	['im Galoppschritt huckepack tragen']	kein_Trinken					
PA03222	auf-pitteln	aufpitteln	Verb	-	auflockern	['auflockern']	kein_Trinken			auflockern	kein_Trinken	kein_Trinken
PD05138	Dunkel-delle	Dunkeldelle	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PN00336	Nacht-wisch	Nachtwisch	Substantiv	2b	Mädchen, das sich spät in der Nacht herumtreibt	['Mädchen, das sich spät in der Nacht herumtreibt']	kein_Trinken					
PL00792	läufnig	läufnig	Adjektiv	-	brünstig von Hündin und Katze	['brünstig von Hündin und Katze']	kein_Trinken					
PK02398	Klamm-haken	Klammhaken	Substantiv	1a	Klammer zum Zusammenhalten des Gerüsts	['Klammer zum Zusammenhalten des Gerüsts']	kein_Trinken					
PK01025	Kästen-wald	Kästenwald	Substantiv	1	aus Edelkastanienbäumen bestehender Wald	['aus Edelkastanienbäumen bestehender Wald']	kein_Trinken					
PJ00535	Jul-hähnchen	Julhähnchen	Substantiv	-	aus Ton geformter, innen hohler Vogel mit zwei Luftlöchern	['aus Ton geformter', 'innen hohler Vogel mit zwei Luftlöchern']	kein_Trinken					
PZ00223	Zatze	Zatze	Substantiv	1a	Hündin	['Hündin']	kein_Trinken			Hündin	kein_Trinken	kein_Trinken
PJ00363	Johann-Jakob	JohannJakob	Substantiv	2a	ungeschickter, einfältiger Mensch, der sich von anderen ausnutzen läßt	['ungeschickter', 'einfältiger Mensch, der sich von anderen ausnutzen läßt']	kein_Trinken					
PF01340	ver-eisen	vereisen	Verb	-	sich mit einer Eiskruste bedecken	['sich mit einer Eiskruste bedecken']	kein_Trinken					
PB03475	Bildung	Bildung	Substantiv	-	Bildung	['Bildung']	kein_Trinken			Bildung	kein_Trinken	kein_Trinken
PK02961	knäcken	knäcken	Verb	-	ticken	['ticken']	kein_Trinken			ticken	kein_Trinken	kein_Trinken
PS10963	Stinker	Stinker	Substantiv	4	der Pilz Eierbovist	['der Pilz Eierbovist']	kein_Trinken					
PH02767	heraus-fliegen	herausfliegen	Verb	2	aus einer Stellung entlassen werden	['aus einer Stellung entlassen werden']	kein_Trinken					
PA03862	aus-nasen	ausnasen	Verb	-	ausschnüffeln	['ausschnüffeln']	kein_Trinken			ausschnüffeln	kein_Trinken	kein_Trinken
PF00599	Faul-baum	Faulbaum	Substantiv	2	aus Holz vom Faulbaum gemachter Zapfen	['aus Holz vom Faulbaum gemachter Zapfen']	kein_Trinken					
PR01221	rein	rein	Adjektiv	'1.I1	sauber, frei von Verunreinigungen	['sauber', 'frei von Verunreinigungen']	kein_Trinken					
PN00313	Nacht-schmetterling	Nachtschmetterling	Substantiv	1	eine Mottenart zur Zeit der Heuernte	['eine Mottenart zur Zeit der Heuernte']	kein_Trinken					
PH05760	Hoch-schüler	Hochschüler	Substantiv	-	Hochschüler	['Hochschüler']	kein_Trinken			Hochschüler	kein_Trinken	kein_Trinken
PM03137	Mühl-stück	Mühlstück	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PG03109	Gitarre	Gitarre	Substantiv	-	Gitarre	['Gitarre']	kein_Trinken			Gitarre	kein_Trinken	kein_Trinken
PE00643	ein-jagen	einjagen	Verb	-	z.B. Angst einjagen	['z.B. Angst einjagen']	kein_Trinken					
PA03405	Auf-trag	Auftrag	Substantiv	-	Befehl	['Befehl']	kein_Trinken			Befehl	kein_Trinken	kein_Trinken
PA04161	Aus-weg	Ausweg	Substantiv	-	Ausweg	['Ausweg']	kein_Trinken			Ausweg	kein_Trinken	kein_Trinken
PU00439	Um-lauf	Umlauf	Substantiv	1	Bewegung um etwas herum, Kreisbewegung	['Bewegung um etwas herum', 'Kreisbewegung']	kein_Trinken					
PW01526	Weide-bube	Weidebube	Substantiv	-	Hirtenjunge	['Hirtenjunge']	kein_Trinken			Hirtenjunge	kein_Trinken	kein_Trinken
PK03244	kniffelig	kniffelig	Adjektiv	-	genau, pedantisch	['genau', 'pedantisch']	kein_Trinken					
PH06493	Hoppsa-sa	Hoppsasa	Substantiv	-	leichtfertiger Mensch	['leichtfertiger Mensch']	kein_Trinken					
PD00813	Tappian	Tappian	Substantiv	x	Tölpel	['Tölpel']	kein_Trinken			Tölpel	kein_Trinken	kein_Trinken
PL02319	Lotte	Lotte	Substantiv	'2.2b	offene Stelle auf dem zugefrorenen Rhein	['offene Stelle auf dem zugefrorenen Rhein']	kein_Trinken					
PU00923	Unter-kaute	Unterkaute	Substantiv	-	Mal, nach dem beim Klickern geworfen wird	['Mal', 'nach dem beim Klickern geworfen wird']	kein_Trinken					
PD03195	Dort	Dort	Substantiv	4	lange, harte Halme im Heu	['lange', 'harte Halme im Heu']	kein_Trinken					
PH06094	Holder-stock	Holderstock	Substantiv	1	Schwarzer Holunder (Sambucus nigra)	['Schwarzer Holunder (Sambucus nigra)']	kein_Trinken					
PB00427	Balken	Balken	Substantiv	2c	Pflugbaum	['Pflugbaum']	kein_Trinken			Pflugbaum	kein_Trinken	kein_Trinken
PD00928	darauf-kriegen	daraufkriegen	Verb	2	einen Schlag versetzt bekommen	['einen Schlag versetzt bekommen']	kein_Trinken					
PH03548	herum-gucken	herumgucken	Verb	2	zögern, Rücksicht nehmen	['zögern', 'Rücksicht nehmen']	kein_Trinken					
PS05398	Schrott	Schrott	Substantiv	1	zerkleinerter, behauener Hartstein; Abfall beim Steinhauen	['zerkleinerter', 'behauener Hartstein', 'Abfall beim Steinhauen']	kein_Trinken					
PB01097	Patsche	Patsche	Substantiv	1a	Backenschlag	['Backenschlag']	kein_Trinken			Backenschlag	kein_Trinken	kein_Trinken
PD02017	Teufels-kerl	Teufelskerl	Substantiv	2	unbändiger Kerl, der andern einen Streich spielt	['unbändiger Kerl, der andern einen Streich spielt']	kein_Trinken					
PS03478	Schloß-kopf	Schloßkopf	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PE01269	Elefanten-zahn	Elefantenzahn	Substantiv	-	Elefantenzahn	['Elefantenzahn']	kein_Trinken			Elefantenzahn	kein_Trinken	kein_Trinken
PS07903	sommern	sommern	Verb	1	Sommer werden	['Sommer werden']	kein_Trinken					
PL01636	Leseholz-schein	Leseholzschein	Substantiv	-	Erlaubnis des Forstamtes zum Sammeln von Leseholz	['Erlaubnis des Forstamtes zum Sammeln von Leseholz']	kein_Trinken					
PW03347	Wohl-lust(en)	Wohllusten, Wohllust	Substantiv	-	Übermut	['Übermut']	kein_Trinken			Übermut	kein_Trinken	kein_Trinken
PH02806	heraus-kobern	herauskobern	Verb	-	von einer Krankheit erholen	['von einer Krankheit erholen']	kein_Trinken					
PS05951	Schutz-wald	Schutzwald	Substantiv	-	zur Vermeidung der Bodenerosion gepflanzter Wald	['zur Vermeidung der Bodenerosion gepflanzter Wald']	kein_Trinken					
PD05140	dunkel-grau	dunkelgrau	Adjektiv	-	dunkelgrau	['dunkelgrau']	kein_Trinken			dunkelgrau	kein_Trinken	kein_Trinken
PU00728	un-grundig	ungrundig	Adjektiv	-	unsauber	['unsauber']	kein_Trinken			unsauber	kein_Trinken	kein_Trinken
PZ00773	Zimtwaffel-eisen	Zimtwaffeleisen	Substantiv	-	Waffeleisen  zum Backen der flachen Zimtwaffeln	['Waffeleisen  zum Backen der flachen Zimtwaffeln']	kein_Trinken					
PG03245	Glecke, Gleck	Glecke, Gleck	Substantiv	1b	Heubündel	['Heubündel']	kein_Trinken			Heubündel	kein_Trinken	kein_Trinken
PM01028	Matzel	Matzel	Substantiv	1	verhärteter Augenschleim	['verhärteter Augenschleim']	kein_Trinken					
PD04489	Drittel	Drittel	Substantiv	-	Drittel	['Drittel']	kein_Trinken			Drittel	kein_Trinken	kein_Trinken
PK04521	Krampf-ader, Kramp-, Kramm-	Krampfader, Kramp, Kramm	Substantiv	-	Krampfader, Kramp, Kramm	['Krampfader', 'Kramp', 'Kramm']	kein_Trinken					
PM00063	Mädchen, Mädel, Mäden	Mädchen, Mädel, Mäden	Substantiv	1b'd	ältere unverheiratete Frau	['ältere unverheiratete Frau']	kein_Trinken					
PB02903	Pfetter, Pfetterich	Pfetter, Pfetterich	Substantiv	4	Anrede des Herrn durch das Gesinde	['Anrede des Herrn durch das Gesinde']	kein_Trinken					
PR00868	rechten	rechten	Verb	1a	streiten, disputieren	['streiten', 'disputieren']	kein_Trinken					
PS07459	Sieben-schläfer	Siebenschläfer	Substantiv	2	zur Familie der Bilche gehörende Schlafmaus (Glis glis)	['zur Familie der Bilche gehörende Schlafmaus (Glis glis)']	kein_Trinken					
PB06195	Priska	Priska	Substantiv	+	weibl. VN	['weibl. VN']	kein_Trinken					
PH02820	heraus-lassen	herauslassen	Verb	3	am Saum verlängern	['am Saum verlängern']	kein_Trinken					
PD02846	Toni	Toni	Substantiv	2	Hundename	['Hundename']	kein_Trinken			Hundename	kein_Trinken	kein_Trinken
PA00232	ab-fordern	abfordern	Verb	-	von einem etwas fordern	['von einem etwas fordern']	kein_Trinken					
PF05480	Frühjahrs-katze	Frühjahrskatze	Substantiv	-	im Frühling geworfene Katze	['im Frühling geworfene Katze']	kein_Trinken					
PK01229	Katzuff, Katzoff	Katzuff, Katzoff	Substantiv	-	Metzger	['Metzger']	kein_Trinken			Metzger	kein_Trinken	kein_Trinken
PE00542	ein-fach	einfach	Adjektiv	1b	schlicht	['schlicht']	kein_Trinken			schlicht	kein_Trinken	kein_Trinken
PS03699	Schmal-weg	Schmalweg	Substantiv	+	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PA00709	ab-setzen	absetzen	Verb	1f	des Amtes entheben	['des Amtes entheben']	kein_Trinken					
PG04317	groß-hansig	großhansig	Adjektiv	-	prahlerisch	['prahlerisch']	kein_Trinken			prahlerisch	kein_Trinken	kein_Trinken
PR00071	Rad	Rad	Substantiv	1c	Kurzform für Fahr-, Dampf- Motorrad	['Kurzform für Fahr-', 'Dampf- Motorrad']	kein_Trinken					
PG00495	Garten-land	Gartenland	Substantiv	x2	Gartenbeet	['Gartenbeet']	kein_Trinken			Gartenbeet	kein_Trinken	kein_Trinken
PZ00525	Zeuge	Zeuge	Substantiv	-	wer z.B. vor Gericht ein eigenes Zeugnis zu einem Ereignis ablegt	['wer z.B. vor Gericht ein eigenes Zeugnis zu einem Ereignis ablegt']	kein_Trinken					
PH07310	hungern	hungern	Verb	2	nach etwas verlangen	['nach etwas verlangen']	kein_Trinken					
PL00581	laß	laß	Adjektiv	1	müde, schlaff, lässig, ohne Energie	['müde', 'schlaff', 'lässig', 'ohne Energie']	kein_Trinken					
PU00358	Ulster	Ulster	Substantiv	-	(weiter) Mantel für Männer	['(weiter) Mantel für Männer']	kein_Trinken					
PS11867	Stritze	Stritze	Substantiv	x1c	Wurstmaschine des Metzgers	['Wurstmaschine des Metzgers']	kein_Trinken					
PB05860	breisen	breisen	Verb	+	(ein)schnüren, einfassen	['(ein)schnüren', 'einfassen']	kein_Trinken					
PM03095	Mühl-bühl	Mühlbühl	Substantiv	+	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PK04484	Krämer	Krämer	Substantiv	1a	Kolonialwarenhändler, Inhaber eines kleinen Ladengeschäftes	['Kolonialwarenhändler', 'Inhaber eines kleinen Ladengeschäftes']	kein_Trinken					
PS04862	Schnur	Schnur	Substantiv	'1.2e	Sehne am Bogen zum Pfeilschießen	['Sehne am Bogen zum Pfeilschießen']	kein_Trinken					
PG02368	Ge-schmeiß	Geschmeiß	Substantiv	2b	kleine Kinder	['kleine Kinder']	kein_Trinken					
PS10171	stechen	stechen	Verb	6a	beim Kartenspiel gebräuchlicher Ausdruck	['beim Kartenspiel gebräuchlicher Ausdruck']	kein_Trinken					
PA00425	ab-ledig	abledig	Adjektiv	-	fade	['fade']	kein_Trinken			fade	kein_Trinken	kein_Trinken
PD04200	Treitschel	Treitschel	Substantiv	-	Schaukel	['Schaukel']	kein_Trinken			Schaukel	kein_Trinken	kein_Trinken
PA00898	ab-witschen	abwitschen	Verb	1	abwischen	['abwischen']	kein_Trinken			abwischen	kein_Trinken	kein_Trinken
PB02729	Pfeffer-knecht	Pfefferknecht	Substantiv	-	Kaufmann	['Kaufmann']	kein_Trinken			Kaufmann	kein_Trinken	kein_Trinken
PA00345	Ab-kauf	Abkauf	Substantiv	+	Loskauf	['Loskauf']	kein_Trinken			Loskauf	kein_Trinken	kein_Trinken
PB04850	Bohnen-fäsel	Bohnenfäsel	Substantiv	-	Fasern an den grünen Bohnenhülsen	['Fasern an den grünen Bohnenhülsen']	kein_Trinken					
PD00767	däperlich	däperlich	Adjektiv	1	widerlich schmeckend	['widerlich schmeckend']	kein_Trinken					
PR01147	Reichs-stein	Reichsstein	Substantiv	-	Backstein 25 cm lang, 12 cm breit	['Backstein 25 cm lang', '12 cm breit']	kein_Trinken					
PK03467	knüppel-hart	knüppelhart	Adjektiv	-	sehr hart	['sehr hart']	kein_Trinken					
PG04101	Gricksel, Grickselchen	Gricksel, Grickselchen	Substantiv	2	kleiner Mensch, kleines Mädchen	['kleiner Mensch', 'kleines Mädchen']	kein_Trinken					
PW01068	Wasser-reiter	Wasserreiter	Substantiv	1	das über das Wasser hingleitende Insekt Gerris gibbifer	['das über das Wasser hingleitende Insekt Gerris gibbifer']	kein_Trinken					
PF04436	Vorder-sturz	Vordersturz	Substantiv	-	Verbindungsstück zwischen Pflugsgrindel und -haupt	['Verbindungsstück zwischen Pflugsgrindel und -haupt']	kein_Trinken					
PA01247	Aktien-gesellschaft	Aktiengesellschaft	Substantiv	-	Aktiengesellschaft	['Aktiengesellschaft']	kein_Trinken			Aktiengesellschaft	kein_Trinken	kein_Trinken
PD05220	Tüpfen-boden	Tüpfenboden	Substantiv	-	Topfboden	['Topfboden']	kein_Trinken			Topfboden	kein_Trinken	kein_Trinken
PH04030	herunter-seckern	herunterseckern	Verb	x	unordentlich abschneiden	['unordentlich abschneiden']	kein_Trinken					
PB04612	Bluts-kopf	Blutskopf	Substantiv	3	Seebinse	['Seebinse']	kein_Trinken			Seebinse	kein_Trinken	kein_Trinken
PH05703	Hoch-bühne	Hochbühne	Substantiv	-	Stockwerk über dem Erdgeschoß, Speicher	['Stockwerk über dem Erdgeschoß', 'Speicher']	kein_Trinken					
PH07601	Hut-band	Hutband	Substantiv	-	Hutband	['Hutband']	kein_Trinken			Hutband	kein_Trinken	kein_Trinken
PS08638	Speis-sieb	Speissieb	Substantiv	-	Sieb für Mörtel	['Sieb für Mörtel']	kein_Trinken					
PD02865	donner-keils	donnerkeils	Adjektiv	-	verflucht	['verflucht']	kein_Trinken			verflucht	kein_Trinken	kein_Trinken
PR00567	ratzen	ratzen	Verb	3b'd	sich streiten	['sich streiten']	kein_Trinken					
PH06233	Holz-getäfel	Holzgetäfel	Substantiv	-	Wandtäfelung in Wohnzimmern	['Wandtäfelung in Wohnzimmern']	kein_Trinken					
PF01638	ver-ketzern	verketzern	Verb	2	falsch beschneiden (den Baum)	['falsch beschneiden (den Baum)']	kein_Trinken					
PJ00288	Johann, Johannes	Johann, Johannes	Substantiv	3a	der Jünger Jesu	['der Jünger Jesu']	kein_Trinken					
PD03812	Trauf, Träuf, Traufe, Träufe	Trauf, Träuf, Traufe, Träufe	Substantiv	1b	aus der Dachrinne abfließendes Regenwasser	['aus der Dachrinne abfließendes Regenwasser']	kein_Trinken					
PB04784	bodemen, bödemen	bodemen, bödemen	Verb	1	auf den Boden werfen	['auf den Boden werfen']	kein_Trinken					
PD04505	drittig	drittig	Adjektiv	+	verlängerte Form zu dritt	['verlängerte Form zu dritt']	kein_Trinken					
PK02090	Kirbe-zeit	Kirbezeit	Substantiv	-	die Zeit der Kirbe (gewöhnlich nach der Ernte)	['die Zeit der Kirbe (gewöhnlich nach der Ernte)']	kein_Trinken					
PB04962	Polka	Polka	Substantiv	-	älterer Tanz	['älterer Tanz']	kein_Trinken					
PO00378	Ofen-rost	Ofenrost	Substantiv	-	Rost, durch den die Asche in den Aschenkasten fällt	['Rost', 'durch den die Asche in den Aschenkasten fällt']	kein_Trinken					
PR00240	rammeln, rämmeln	rammeln, rämmeln	Verb	2	stoßen	['stoßen']	kein_Trinken			stoßen	kein_Trinken	kein_Trinken
PM00849	Martins-feuer	Martinsfeuer	Substantiv	-	Feuer, das an Martini abgebrannt wurde	['Feuer, das an Martini abgebrannt wurde']	kein_Trinken					
PS12241	Stumpen	Stumpen	Substantiv	1	Stumpf, Stummel, Rest von etwas, kleine Menge	['Stumpf', 'Stummel', 'Rest von etwas', 'kleine Menge']	kein_Trinken					
PK02581	Kleetod-placken	Kleetodplacken	Substantiv	-	von der Kleeseide befallene ringförmige Stelle im Acker	['von der Kleeseide befallene ringförmige Stelle im Acker']	kein_Trinken					
PK04535	Krangel-peter	Krangelpeter	Substantiv	-	nörglerischer Mensch	['nörglerischer Mensch']	kein_Trinken					
PS12730	Süßholz-raspler	Süßholzraspler	Substantiv	-	wer anderen zum Gefallen redet, Schmeichler, Ohrenbläser	['wer anderen zum Gefallen redet', 'Schmeichler', 'Ohrenbläser']	kein_Trinken					
PK01285	Kaul-quappe, -quappen	Kaulquappe, Kaulquappen	Substantiv	-	Froschlarve	['Froschlarve']	kein_Trinken			Froschlarve	kein_Trinken	kein_Trinken
PB01555	Beele	Beele	Substantiv	1	unordentliches, einfältiges Frauenzimmer	['unordentliches', 'einfältiges Frauenzimmer']	kein_Trinken					
PF01547	ver-hitzen	verhitzen	Verb	1a	sich erhitzen	['sich erhitzen']	kein_Trinken					
PH06705	Hosen-schisser	Hosenschisser	Substantiv	2	Angsthase, der sich nichts zutraut	['Angsthase, der sich nichts zutraut']	kein_Trinken					
PB03954	Pläne-macher	Plänemacher	Substantiv	1	wer dumme Pläne ersinnt	['wer dumme Pläne ersinnt']	kein_Trinken					
PK02242	Kirsche	Kirsche	Substantiv	1c	unveredelte Kirsche	['unveredelte Kirsche']	kein_Trinken					
PB07699	Butter-faß	Butterfaß	Substantiv	2	spitzes, spindelförmiges Schneckenhäuschen	['spitzes', 'spindelförmiges Schneckenhäuschen']	kein_Trinken					
PD03115	Dorn, Dornen	Dorn, Dornen	Substantiv	'1.2b	Stift im Schloß, im Scharnierband, Drücker am Türschloß	['Stift im Schloß', 'im Scharnierband', 'Drücker am Türschloß']	kein_Trinken					
PM01721	metzeln	metzeln	Verb	2	eine Schnur oder ähnliches durchreiben	['eine Schnur oder ähnliches durchreiben']	kein_Trinken					
PS01993	Schein	Schein	Substantiv	1a	Lichtausstrahlung	['Lichtausstrahlung']	kein_Trinken			Lichtausstrahlung	kein_Trinken	kein_Trinken
PM02360	Mittel-brücke	Mittelbrücke	Substantiv	-	Tragschemel in der Mitte des Wagens unter dem Wagenboden	['Tragschemel in der Mitte des Wagens unter dem Wagenboden']	kein_Trinken					
PH05789	hoch-tragen	hochtragen	Verb	-	hochtragen	['hochtragen']	kein_Trinken			hochtragen	kein_Trinken	kein_Trinken
PF03373	Fisch-laich	Fischlaich	Substantiv	-	Fischlaich	['Fischlaich']	kein_Trinken			Fischlaich	kein_Trinken	kein_Trinken
PF04561	Form	Form	Substantiv	1a'a	Form zur Gestaltgebung bei Backwaren	['Form zur Gestaltgebung bei Backwaren']	kein_Trinken					
PG00119	Galgen	Galgen	Substantiv	+2h	Balkengestell, in dem sich das Schleusenbrett bewegt	['Balkengestell', 'in dem sich das Schleusenbrett bewegt']	kein_Trinken					
PW02336	Wetter-mann	Wettermann	Substantiv	1a	männliche Figur im Wetterhaus 1	['männliche Figur im Wetterhaus 1']	kein_Trinken					
PS12167	Stück-wegs	Stückwegs	Substantiv	-	Abschnitt, Strecke	['Abschnitt', 'Strecke']	kein_Trinken					
PL02390	luck-lassen	lucklassen	Verb	-	locker-, loslassen, nachgeben	['locker-', 'loslassen', 'nachgeben']	kein_Trinken					
PA03415	Auf-tritt	Auftritt	Substantiv	-	Zank, Streit	['Zank', 'Streit']	kein_Trinken					
PB02333	Betlehem	Betlehem	Substantiv	1	biblischer Ortsname	['biblischer Ortsname']	kein_Trinken					
PB06989	Büchten-eck	Büchteneck	Substantiv	-	Flurname	['Flurname']	kein_Trinken			Flurname	kein_Trinken	kein_Trinken
PH03899	herum-wirtschaften	herumwirtschaften	Verb	-	ohne Unterlaß tätig sein	['ohne Unterlaß tätig sein']	kein_Trinken					
PN01040	Neun-angler	Neunangler	Substantiv	1a	große Hornisse	['große Hornisse']	kein_Trinken					
