ID	Lemma	Definition	Konzept	Konzept_gemappt	Antwort_ungültig
PH00512	halb	wenn man 14 Liter Wein u.ä. trinkt	kein_Trinken	Trinken.Alkohol_trinken	
PH02056	Hecken-wirt, Heck-wirt	geschäftsuntüchtiger Gastwirt	kein_Trinken	kein_Trinken	kein_Trinken
PH02057	Hecken-wirtschaft, Heck-wirtschaft	kleines Weinlokal	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PH02967	Herberge	einfaches Gasthaus, bes. für wandernde Handwerksburschen	kein_Trinken	kein_Trinken	kein_Trinken
PH02967	Herberge	verrufenes Haus, Spelunke	kein_Trinken	kein_Trinken	kein_Trinken
PH02969	Herbergs-mutter	Herbergswirtin, Frau des Herbergswirts, des Besitzers einer Herberge	kein_Trinken	kein_Trinken	kein_Trinken
PH02969	Herbergs-mutter	Gastwirtin	kein_Trinken	kein_Trinken	kein_Trinken
PH02970	Herbergs-vater	Herbergswirt, Besitzer einer Herberge	kein_Trinken	kein_Trinken	kein_Trinken
PH03293	Herren-stube	Zimmer im Gasthaus für vornehme Gäste	kein_Trinken	kein_Trinken	kein_Trinken
PH03295	Herren-tisch	Tisch im Gasthaus für vornehme Gäste	kein_Trinken	kein_Trinken	kein_Trinken
PH03555	herum-hängen, -henken	sich oft in Wirtshäusern aufhalten	kein_Trinken	Trinken.Alkohol_trinken	
PH04415	Hieb	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH04495	Himmel-reich	Name eines Gasthauses in LU-Altr	kein_Trinken	kein_Trinken	kein_Trinken
PH05512	Hippes	kleiner Rausch, Halberrücktheit	kein_Trinken	Trinken.Alkohol_trinken	
PH05549	Hirsch	Gasthaus zum Hirsch	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PH05587	Hirsch-wirt, -wirtin	"Inhaber(in) des Gasthauses ""Zum Hirsch"""	kein_Trinken	kein_Trinken	kein_Trinken
PH05869	Hocke	Stammplatz im Wirtshaus	kein_Trinken	kein_Trinken	kein_Trinken
PH05878	hocken-bleiben	(abends) lang ausbleiben	kein_Trinken	kein_Trinken	kein_Trinken
PH05879	Hocken-bleiber, -bleibersin, Hocken-bleiber, -bleiberin	wer lange im Gasthaus herumsitzt	kein_Trinken	[ungültig]	Trinken.Alkoholfreies_Trinken
PH05880	hocken-haben	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PH05882	Hocker	wer lang im Wirtshaus herumsitzt	kein_Trinken	Trinken.Alkohol_trinken	
PH05915	Hof	Name von Gaststätten	kein_Trinken	kein_Trinken	kein_Trinken
PH06443	Hopfen-bitter	die aus Hopfen gewonnene Bierwürze	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PH06491	Hopps	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH06502	Horbel	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH06523	Hormel	Alkoholrausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PH06524	Hormes	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PH07070	Humpen	großes TrinkGefäß von 2 - 5 l Inhalt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PH07077	Hund	Schnapsglas (kleiner als 14 l)	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PH07490	Huren-butik	Gastwirtschaft mit zweifelhaftem Ruf	kein_Trinken	kein_Trinken	kein_Trinken
PH07498	Huren-mutter	Inhaberin einer Gastwirtschaft von zweifelhaftem Ruf	kein_Trinken	kein_Trinken	kein_Trinken
PH07499	Huren-nest	Gastwirtschaft von zweifelhaftem Ruf	kein_Trinken	kein_Trinken	kein_Trinken
PH07506	Huren-vater	Inhaber einer Gastwirtschaft von zweifelhaftem Ruf	kein_Trinken	kein_Trinken	kein_Trinken
PH07508	Huren-wirt	Inhaber einer Gastwirtschaft von zweifelhaftem Ruf	kein_Trinken	kein_Trinken	kein_Trinken
PH07509	Huren-wirtschaft	Gastwirtschaft von zweifelhaftem Ruf	kein_Trinken	kein_Trinken	kein_Trinken
PK00002	Kabarettier	Speisewirt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PK00017	Kachel-wirt	Wirt, der häufig das Verlangte nicht hat	kein_Trinken	kein_Trinken	kein_Trinken
PK00043	Kaffee	Kaffeehaus	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PK00044	Kaffee	Kaffeebohnen, auch in gemahlenem Zustand	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PK00048	Kaffee-bohne	Kaffeebohne	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PK00064	Kaffee-haus	Kaffeehaus	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PK00090	Kaffee-satz	Kaffeesatz	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PK00495	Kanonen-rausch	starker Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PK00499	kanonen-voll	völlig betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PK00501	Kanonen-zopf	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PK00510	Kantine	Kantine	kein_Trinken	Getränk	
PK00513	Kantinen-wirt	Kantinenwirt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PK00557	Kappe	Schaumschicht auf dem Bier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PK01047	Kater	Katzenjammer nach übermäßigem Alkoholgenuß	kein_Trinken	Trinken.Alkohol_trinken	
PK01135	Katzen-jammer	unangenehme Nachwehen eines Rausches	kein_Trinken	Trinken.Alkohol_trinken	
PK01435	Keller-balken	Kellnerin	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PK01460	Keller-mäden, -mädchen, -mädel	Kellnerin	kein_Trinken	[ungültig]	Beruf.Kellner
PK01462	Keller-mensch	Kellnerin	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PK01493	Kellner, Kellnerin, Kellerin	Kellner, Kellnerin, Kellerin	kein_Trinken	kein_Trinken	kein_Trinken
PK01495	Kellner-frack	Kellner	kein_Trinken	kein_Trinken	kein_Trinken
PK01496	Kellner-mädel	Kellnerin	kein_Trinken	kein_Trinken	kein_Trinken
PK01497	kellnern	als Kellner arbeiten	kein_Trinken	kein_Trinken	kein_Trinken
PK02301	Kiste	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PK02881	Kloster-hof	Name einer Gastwirtschaft in FR-Hertlhs	kein_Trinken	kein_Trinken	kein_Trinken
PK02979	knäll	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PK02983	Knall-bude	schlechtes Gasthaus	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PK03012	Knall-wirtschaft	verrufene Gastwirtschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PK03150	Kneipe	kleines, minderes Wirtshaus	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PK03365	Knorbel, Knurbel, Knürbel	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PK03538	Kober	Wirt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PK04261	Kost-haus	Haus, in dem man beköstigt wird	kein_Trinken	kein_Trinken	kein_Trinken
PK04361	Kräch, Kräche, Krächen	leichter Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PK04414	Kraft	von der belebenden Wirkung des Alkohols	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PK04420	kräftig	viel Alkohol enthaltend (von Wein, Bier)	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PK04922	Kreuz-wirt	"Wirt einer Gastwirtschaft ""Zum Kreuz"" (an einer Straßenkreuzung)"	kein_Trinken	kein_Trinken	kein_Trinken
PK05119	Krone	"Wirtschaft, auch Gasthaus ""zur Krone"""	kein_Trinken	kein_Trinken	kein_Trinken
PK05124	Kronen-wirt, Kronich-	"Wirt eines Gasthauses ""Zur Krone"""	kein_Trinken	kein_Trinken	kein_Trinken
PK05237	krotten-voll	völlig betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PK05387	Kübel-süffer	starker Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PK05666	Kuh-schluck, Küh-	sehr großer Schluck	kein_Trinken	Trinken.Schnell_große_Mengen_trinken	
PK05667	Kuh-schlurpser, Küh-	sehr großer Schluck	kein_Trinken	Trinken.Schnell_große_Mengen_trinken	
PL00075	Lack	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PL00077	lack	abgestanden, schal, lau (von Getränken)	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PL00335	Land-lord	Wirt	kein_Trinken	kein_Trinken	kein_Trinken
PL00528	Läpperer	(heimlicher) Trinker, Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PL00588	läßig	gezapft	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PL00610	lateinisch	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PL01276	Leib-wirtschaft	Stammlokal	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PL01544	Leiter	Zeche	kein_Trinken	Trinken.Alkohol_trinken	
PL01729	leuchten	von der Trinkernase	kein_Trinken	Trinken.Alkohol_trinken	
PL01949	Linde	Name von Gasthäusern	kein_Trinken	kein_Trinken	kein_Trinken
PL02185	Lokal	Gastwirtschaft, Herberge	kein_Trinken	kein_Trinken	kein_Trinken
PL02195	Lo-pfiffer	nicht zahlender Zechgenosse	kein_Trinken	Trinken.Alkohol_trinken	
PL02355	Löwe	Name von Gasthäusern	kein_Trinken	kein_Trinken	kein_Trinken
PL02375	Luck	Spelunke	kein_Trinken	kein_Trinken	kein_Trinken
PL02496	Lukas	Humpen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PL02514	Lump	Trunkenbold, Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PL02572	Lumpen-wirtschaft	schlechtes Gasthaus	kein_Trinken	kein_Trinken	kein_Trinken
PL02577	Lumpes	Säufer, Trunkenbold	kein_Trinken	Trinken.Alkohol_trinken	
PL02648	Lust, Lusten	Gartenwirtschaft	kein_Trinken	kein_Trinken	kein_Trinken
PL02674	luttern	den Zwetschgen- oder Birnenschnaps zum zweitenmal brennen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PM00060	Madamen-schlücke	kleine Schlucke	kein_Trinken	Trinken.Langsam_kleine_Mengen_trinken	
PM01938	Milch-schokolade	Milchschokolade	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	
PM01949	Milch-süffer	wer viel Milch trinkt	kein_Trinken	Trinken.Langsam_kleine_Mengen_trinken	
PM02544	mole	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PM02771	Mords-affe	schwerer Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PM02812	Mords-rausch	großer Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PN00257	Nacht-licht	wer bis in die späte Nacht im Wirtshaus sitzt	kein_Trinken	Trinken.Alkohol_trinken	
PN00634	Nasen-schild, Nas-schild	in die Straße ragendes Wirtshausschild	kein_Trinken	kein_Trinken	kein_Trinken
PN00670	Naß-kittel	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PN00728	Nebel	Zustand des Betrunkenseins	kein_Trinken	Trinken.Alkohol_trinken	
PN00816	Neben-zimmer	Gaststättennebenraum für Gesellschaften an Kirchweih, Festen; Herrenzimmer	kein_Trinken	kein_Trinken	kein_Trinken
PO00042	Ober	Oberkellner, Kellner	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PO00098	Ober-kellner	Oberkellner	kein_Trinken	kein_Trinken	kein_Trinken
PO00250	Ochse	"Name von Gasthäusern ""Zum Ochsen"""	kein_Trinken	kein_Trinken	kein_Trinken
PO00320	Ochsen-wirt	Wirt einer Gastwirtschaft Zum Ochsen	kein_Trinken	kein_Trinken	kein_Trinken
PO00401	Offiziers-borte	hohe Schaumkrone auf dem Bier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PQ00129	Quartal-säufer, -süffer	wer sich in periodischen Abständen betrinkt	kein_Trinken	Trinken.Alkohol_trinken	
PQ00266	Quetsche	blaue Nase (des Trinkers)	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PQ00279	Quetschen-faß	Faß zur Schnapsbereitung aus Zwetschgenfallobst	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PR00440	Rasier-schaum	Sahne auf dem Kaffee	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PR00719	Rausch	durch den Genuß von zuviel Alkohol eintretende Bewußtseinsverwirrung	kein_Trinken	Trinken.Alkohol_trinken	
PR00728	rauschig	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PR00942	regalieren	bewirten, freihalten	kein_Trinken	Trinken	
PR01118	Reiber	Faßhahn; kleiner Holzhahn am Faß zum Abfüllen des Weins in Gläser	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	
PR01163	Reif	ausgehängter Faßreifen als Wirtshauszeichen	kein_Trinken	kein_Trinken	kein_Trinken
PR01326	Reitel	Tafelauf die der Wirt Zechschulden notiert	kein_Trinken	kein_Trinken	kein_Trinken
PR01356	Reit-haken	Weinglas	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PR01401	Remischen	kleines Weinglas	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PR01402	Remischen-stecher	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PR01472	Restaurant	Restaurant	kein_Trinken	kein_Trinken	kein_Trinken
PR01473	Restauration	Restaurant	kein_Trinken	Getränk	
PR01570	Ribo	Zechtour	kein_Trinken	Trinken.Alkohol_trinken	
PR02123	Römer	grünes Weinglas	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	
PR02903	rußig	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS00044	Säbel, Sabel	Rausch	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PS00123	Säckert	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PS00157	Sack-süffer	kleines flaches Schnapsfläschchen für die Tasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS00652	Sares	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS00721	Satz	Bodensatz in Getränken, bes. Kaffee	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PS00891	Sauf-aus	Zechbruder, Säufer, Saufbold	kein_Trinken	Trinken.Alkohol_trinken	
PS00892	Sauf-bruder	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS00906	Säufer	Trinker, Alkoholiker	kein_Trinken	Trinken.Alkohol_trinken	
PS00909	Säufer-wahn	Geistesschwäche, Unzurechenbarkeit infolge Trunkenheit, Delirium	kein_Trinken	Trinken.Alkohol_trinken	
PS00910	Säufer-wahnsinn	Geistesschwäche, Unzurechenbarkeit infolge Trunkenheit, Delirium	kein_Trinken	Trinken.Alkohol_trinken	
PS00915	Sauf-gesellschaft	(häufig) zechende, dem Alkohol ergebene Gesellschaft (auch Schimpfw)	kein_Trinken	Trinken.Alkohol_trinken	
PS00916	Sauf-gichtern	Delirium	kein_Trinken	kein_Trinken	kein_Trinken
PS00922	Sauf-kollege	Zechkumpan	kein_Trinken	Trinken.Alkohol_trinken	
PS00923	Sauf-kompanie	(häufig) zechende, dem Alkohol ergebene Gesellschaft (auch Schimpfw)	kein_Trinken	Trinken.Alkohol_trinken	
PS00924	Sauf-kopf	wer gern Alkohol trinkt	kein_Trinken	Trinken.Alkohol_trinken	
PS00924	Sauf-kumpan	Zechkumpan	kein_Trinken	Trinken.Alkohol_trinken	
PS00925	Sauf-lappen	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS00928	Sauf-liste	Liste der ortsbekannten Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS00929	Sauf-loch	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS00930	Sauf-lottel	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS00931	Sauf-nase	Säufer, Trunkenbold	kein_Trinken	Trinken.Alkohol_trinken	
PS00932	Sauf-naupen	Saufgelüste	kein_Trinken	Trinken.Alkohol_trinken	
PS00934	Sauf-partie	Zechgelage	kein_Trinken	Trinken.Alkohol_trinken	
PS00942	Sauf-schulden	Schulden infolge übermäßigen Saufens	kein_Trinken	Trinken.Alkohol_trinken	
PS00943	Sauf-teufel	Personifizierung des Alkoholismus	kein_Trinken	Trinken.Alkohol_trinken	
PS01122	Sau-rausch	großer Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PS01169	Sauser	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	
PS01303	Schächer	Gastwirt	kein_Trinken	Getränk	
PS01498	Schafs-wirt, Schaf-wirt	Besitzer der Gastwirtschaft 'Zum Schaf'	kein_Trinken	kein_Trinken	kein_Trinken
PS01689	Schank	Ausschank (von Getränken)	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PS01692	Schank-bursche	Gehilfe beim Ausschank	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PS01697	Schank-haus	Gastwirtschaft	kein_Trinken	kein_Trinken	kein_Trinken
PS01699	Schank-recht	Schankrecht	kein_Trinken	[ungültig]	Trinken.Alkohol_trinken.Schankrecht
PS01701	Schank-stube	Stube der Gastwirtschaft, in der ausgeschenkt wird	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PS01702	Schank-tisch	Tisch in der Gastwirtschaft, an dem ausgeschenkt wird	kein_Trinken	kein_Trinken	kein_Trinken
PS01704	Schank-wirt	Wirt, der ausschenkt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PS01843	Schaskeler	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PS01846	Schaskener	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PS01883	Schaub	brennender Strohwisch als Zeichen des Schankrechts	kein_Trinken	kein_Trinken	kein_Trinken
PS02117	Schenk-bursche	Aushelfer in Gaststätten zur Kirchweihzeit	kein_Trinken	kein_Trinken	kein_Trinken
PS02118	Schenke	Schankwirtschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PS02118	Schenke	Schanktisch	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PS02122	schenken	Getränke ausschenken	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PS02126	Schenk-kellner	Kellner, der ausschenkt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PS02127	Schenk-Mädchen	Aushelferin in Gaststätten zur Kirchweihzeit	kein_Trinken	kein_Trinken	kein_Trinken
PS02128	Schenk-wirt	wer in einer Schenke ausschenkt	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PS02273	schicker	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS02275	Schicker	Schwips, Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PS02429	Schikores	Trunkenheit, Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PS02430	schikorum	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS02437	Schild-gerechtigkeit	Konzession für die Eröffnung einer Gastwirtschaft	kein_Trinken	kein_Trinken	kein_Trinken
PS02441	Schild-wirt	zum Dauerausschank gekaufter Weine berechtigter Wirt	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	
PS02768	Schläger, Schlager	Alkoholrausch, Alkoholexzeß	kein_Trinken	Trinken.Alkohol_trinken	
PS02791	Schlag-seite	wie schd»Schlag-seite	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PS03077	Schleh-büchse	Bierfäßchen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PS03518	Schluck	Menge, die auf einmal geschluckt wird; der einmalige Schluckvorgang	kein_Trinken	Trinken.Langsam_kleine_Mengen_trinken	
PS03531	Schluck-specht	wer gerne und viel trinkt	kein_Trinken	Trinken.Alkohol_trinken	
PS03532	schluck-weise	schluckweise	kein_Trinken	Trinken.Langsam_kleine_Mengen_trinken	
PS03990	schmorig	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS04244	Schnaps-ausschank	Schankrecht für Spirituosen im Gasthaus	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS04250	Schnaps-bude	anspruchsloses, vorwiegend zum Trinken besuchtes Gasthaus	kein_Trinken	Trinken.Alkohol_trinken	
PS04251	Schnaps-butelle	Schnapsflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS04252	Schnaps-butik	Gastwirtschaft mit bescheidenen Ansprüchen, Branntweinschenke	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS04256	Schnapser	wer gerne und oft Schnaps trinkt	kein_Trinken	Trinken.Alkohol_trinken	
PS04258	Schnaps-fahne	nach Schnaps riechender Atem	kein_Trinken	Trinken.Alkohol_trinken	
PS04260	Schnaps-flasche	Glasflasche für Branntwein	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS04276	Schnaps-kneipe	Gasthaus, das vorwiegend zum Zweck des Trinkens besucht wird	kein_Trinken	Trinken.Alkohol_trinken	
PS04279	Schnaps-kram	Schnapsausschank	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS04281	Schnaps-laden	Branntweinausschank, meist mit Kramladen verbunden	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS04283	Schnaps-nase	blaurot verfärbte, aufgedunsene Nase eines Gewohnheitstrinkers	kein_Trinken	Trinken.Alkohol_trinken	
PS04286	Schnaps-rausch	durch Genuß von zuviel Schnaps eintretende Bewußtseinsverwirrung	kein_Trinken	Trinken.Alkohol_trinken	
PS04288	Schnaps-saufen	übermäßiger Genuß von Schnaps	kein_Trinken	Trinken.Alkohol_trinken	
PS04290	Schnaps-teufel	Personifizierung des Alkoholismus	kein_Trinken	Trinken.Alkohol_trinken	
PS04293	Schnaps-vergiftung	schwere Vergiftung durch übermäßigen Genuß von Branntwein	kein_Trinken	Trinken.Alkohol_trinken	
PS04295	Schnaps-wirtschaft	Gasthaus mit Schnapsausschank	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS05058	Schöppeler	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS05069	Schoppen-pitscher	wer gerne einen Schoppen Wein trinkt	kein_Trinken	Trinken.Alkohol_trinken	
PS05070	Schoppen-schlücker	wer gerne einen Schoppen trinkt, Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS05071	Schoppen-stecher	wer gerne einen Schoppen trinkt, Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PS05075	Schöppler	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PS05208	schräg, schrägs	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS05507	schucker	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS06081	Schwan	Name von Gasthäusern	kein_Trinken	kein_Trinken	kein_Trinken
PS06097	Schwanen-wirt, -wirtin	"Wirt, Wirtin eines Gasthauses ""Zum Schwanen"""	kein_Trinken	kein_Trinken	kein_Trinken
PS06109	schwanken	sich schwankend fortbewegen, taumelnd gehen (bes. von Betrunkenen)	kein_Trinken	Trinken.Alkohol_trinken	
PS06119	Schwänzel-bübchen	Kellner	kein_Trinken	kein_Trinken	kein_Trinken
PS06191	schwarz	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PS06206	Schwarz-brenner	wer unerlaubt Schnaps brennt	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS06285	Schwätz-wasser	Schwätzwasser haben = betrunken, angetrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PS06297	Schwede	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PS06623	Schwips	leichter Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PS06625	schwipsig	angeheitert, leicht betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS06628	Schwitte	kleines Glas Wein, Viertelchen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	
PS07146	selig	angeheitert, betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PS07297	servieren	Essen, Getränke auftragen, auftischen	kein_Trinken	kein_Trinken	kein_Trinken
PS07298	Servier-frau, -fräulein	Kellnerin, Bedienung im Gasthaus	kein_Trinken	kein_Trinken	kein_Trinken
PS07299	Servier-Mädchen	Mädchen, das serviert	kein_Trinken	kein_Trinken	kein_Trinken
PS07301	Servier-spritze	Kellnerin, Bedienung im Gasthaus	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PS07972	Sonne	Name von Gasthäusern	kein_Trinken	kein_Trinken	kein_Trinken
PS08616	Speise-karte	Speisekarte	kein_Trinken	Getränk	
PS08618	Speise-kellner	Kellner, der Speisen aufträgt	kein_Trinken	kein_Trinken	kein_Trinken
PS08672	Spelunke	anspruchsloses, verkommenes, übelbeleumundetes Gasthaus	kein_Trinken	kein_Trinken	kein_Trinken
PS08876	Spiel-zettel	einen Spielzettel haben = betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PS09038	Spitz	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PS09048	Spitz-bohnen	Getreidekörner als Kaffee-Ersatz	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	
PS09418	spritzen	ein Getränk mit Wasser verdünnen	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PS09424	Spritzer	leichterer Rausch durch Alkohol	kein_Trinken	Trinken.Alkohol_trinken	
PS09466	Sprudel-flasche	Flasche für Mineralwasser	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	
